protocol,test_number,bytes_sent,transfer_time,file_size,overhead,throughput
tcp,1,44028,0.000033,44000,0,1328538248.29
tcp,2,44028,0.000050,44000,0,879365792.91
tcp,3,44028,0.000121,44000,0,363517355.34
tcp,4,44028,0.000196,44000,0,224655494.54
tcp,5,44028,0.000213,44000,0,206562434.58
tcp,6,44028,0.000219,44000,0,201162109.49
tcp,7,44028,0.000085,44000,0,518727012.67
tcp,8,44028,0.000183,44000,0,240765080.20
tcp,9,44028,0.000141,44000,0,312465002.56
tcp,10,44028,0.000047,44000,0,932660689.45
tls,1,44028,0.000159,44000,28,276861793.87
tls,2,44028,0.000230,44000,28,191364576.70
tls,3,44028,0.000306,44000,28,143709584.83
tls,4,44028,0.000304,44000,28,144836718.83
tls,5,44028,0.000299,44000,28,147262214.12
tls,6,44028,0.000292,44000,28,150748421.64
tls,7,44028,0.000300,44000,28,146677376.10
tls,8,44028,0.000301,44000,28,146444739.50
tls,9,44028,0.000312,44000,28,141074726.14
tls,10,44028,0.000356,44000,28,123771324.74
